檔案,類型,記錄Key,名稱,欄位,舊值,新值
EXCHANGE.INI,changed,1869,拆解：鵑雪傾錘Ⅲ,Material1,30248,30238
EXCHANGE.INI,changed,1869,拆解：鵑雪傾錘Ⅲ,Name,拆解：鋼鵬衛盾Ⅲ,拆解：鵑雪傾錘Ⅲ
EXCHANGE.INI,changed,2968,星龍珠★★,Material1,28445,28439
EXCHANGE.INI,changed,2968,星龍珠★★,Name,星鳳徽★★,星龍珠★★
EXCHANGE.INI,changed,2968,星龍珠★★,Reward1,28446,28440
EXCHANGE.INI,changed,679,一頁書錦囊禮券,Material1,32175,32164
EXCHANGE.INI,changed,679,一頁書錦囊禮券,Name,黃帝錦囊禮券,一頁書錦囊禮券
EXCHANGE.INI,changed,679,一頁書錦囊禮券,Reward1,32171,32160
EXCHANGE.INI,changed,1397,凜月漪纏Ⅲ,Material1,31317,31307
EXCHANGE.INI,changed,1397,凜月漪纏Ⅲ,Name,舞星鈦甲Ⅲ,凜月漪纏Ⅲ
EXCHANGE.INI,changed,1397,凜月漪纏Ⅲ,Reward1,31318,31308
EXCHANGE.INI,changed,715,凜雪鴉錦囊禮券,Material1,31601,31599
EXCHANGE.INI,changed,715,凜雪鴉錦囊禮券,Name,浪巫謠錦囊禮券,凜雪鴉錦囊禮券
EXCHANGE.INI,changed,715,凜雪鴉錦囊禮券,Reward1,31493,31491
EXCHANGE.INI,changed,2224,君諭刀★★☆,Material1,29364,29352
EXCHANGE.INI,changed,2224,君諭刀★★☆,Name,皇麟扇★★☆,君諭刀★★☆
EXCHANGE.INI,changed,2224,君諭刀★★☆,Reward1,29365,29353
EXCHANGE.INI,changed,3154,拆解：星兇手★★★,Material1,28543,28537
EXCHANGE.INI,changed,3154,拆解：星兇手★★★,Name,拆解：煌月巾★★★,拆解：星兇手★★★
EXCHANGE.INI,changed,2904,進化→鬥星盔★,Material1,27658,27656
EXCHANGE.INI,changed,2904,進化→鬥星盔★,Name,進化→星蹤綸★,進化→鬥星盔★
EXCHANGE.INI,changed,2904,進化→鬥星盔★,Reward1,28388,28382
EXCHANGE.INI,changed,782,拆解：兌澤仙太極,Material1,29722,29720
EXCHANGE.INI,changed,782,拆解：兌澤仙太極,Name,拆解：震雷仙太極,拆解：兌澤仙太極
EXCHANGE.INI,changed,1824,拆解：葬月梟斧Ⅱ,Group,104,103
EXCHANGE.INI,changed,1824,拆解：葬月梟斧Ⅱ,Material1,30252,30242
EXCHANGE.INI,changed,1824,拆解：葬月梟斧Ⅱ,Name,拆解：劍豪旭冠Ⅱ,拆解：葬月梟斧Ⅱ
EXCHANGE.INI,changed,1824,拆解：葬月梟斧Ⅱ,Reward1,29273,29272
EXCHANGE.INI,changed,1068,【諸業俱毀】,Material1Count,50,100
EXCHANGE.INI,changed,1068,【諸業俱毀】,Name,秘笈：明光伏影,【諸業俱毀】
EXCHANGE.INI,changed,1068,【諸業俱毀】,Reward1,31532,31520
EXCHANGE.INI,changed,1497,拆解：塹淵幽柄Ⅲ,Material1,31128,31118
EXCHANGE.INI,changed,1497,拆解：塹淵幽柄Ⅲ,Name,拆解：羅將烈槍Ⅲ,拆解：塹淵幽柄Ⅲ
EXCHANGE.INI,changed,1208,極．旭品武防綢袋,Material1Count,200,250
EXCHANGE.INI,changed,1208,極．旭品武防綢袋,Material2Count,200,250
EXCHANGE.INI,changed,1208,極．旭品武防綢袋,Material3Count,200,250
EXCHANGE.INI,changed,1208,極．旭品武防綢袋,Material4Count,20,25
EXCHANGE.INI,changed,1208,極．旭品武防綢袋,Name,超．旭品武防綢袋,極．旭品武防綢袋
EXCHANGE.INI,changed,1208,極．旭品武防綢袋,Reward1,30448,30459
EXCHANGE.INI,changed,844,般若，消光,Material1,29628,29626
EXCHANGE.INI,changed,844,般若，消光,Name,長柄滄耳刀，消光,般若，消光
EXCHANGE.INI,changed,844,般若，消光,Reward1,29619,29617
EXCHANGE.INI,changed,2884,秘笈：蓮華聖路,Material1,29647,29645
EXCHANGE.INI,changed,2884,秘笈：蓮華聖路,Name,秘笈：心劍,秘笈：蓮華聖路
EXCHANGE.INI,changed,1672,拆解：凜月影束Ⅴ,Material1,31315,31305
EXCHANGE.INI,changed,1672,拆解：凜月影束Ⅴ,Name,拆解：舞星釩兜Ⅴ,拆解：凜月影束Ⅴ
EXCHANGE.INI,changed,2468,極．玄宙僧裝錦囊,Material1Count,500,600
EXCHANGE.INI,changed,2468,極．玄宙僧裝錦囊,Name,超．玄宙神兵寶箱,極．玄宙僧裝錦囊
EXCHANGE.INI,changed,2468,極．玄宙僧裝錦囊,Reward1,31354,31370
EXCHANGE.INI,changed,1961,河山斧★,Group,113,112
EXCHANGE.INI,changed,1961,河山斧★,Material1,29403,29391
EXCHANGE.INI,changed,1961,河山斧★,Material2Count,1,3
EXCHANGE.INI,changed,1961,河山斧★,Name,劍帝冕★,河山斧★
EXCHANGE.INI,changed,1961,河山斧★,Reward1,29404,29392
EXCHANGE.INI,changed,1804,狂陽輝冕Ⅲ,Material1,30382,30372
EXCHANGE.INI,changed,1804,狂陽輝冕Ⅲ,Name,狂陽赤手Ⅲ,狂陽輝冕Ⅲ
EXCHANGE.INI,changed,1804,狂陽輝冕Ⅲ,Reward1,30383,30373
EXCHANGE.INI,changed,1903,拆解：靜月織足Ⅲ,Material1,30418,30408
EXCHANGE.INI,changed,1903,拆解：靜月織足Ⅲ,Name,拆解：宿星燦甲Ⅲ,拆解：靜月織足Ⅲ
EXCHANGE.INI,changed,1347,拆解：騰陽巍立Ⅰ,Material1,31296,31286
EXCHANGE.INI,changed,1347,拆解：騰陽巍立Ⅰ,Name,拆解：凜月霜襟Ⅰ,拆解：騰陽巍立Ⅰ
EXCHANGE.INI,changed,3405,拆解：燦煌衣☆☆☆,Material1,28870,28864
EXCHANGE.INI,changed,3405,拆解：燦煌衣☆☆☆,Name,拆解：佛煌裟☆☆☆,拆解：燦煌衣☆☆☆
EXCHANGE.INI,changed,1805,狂陽耀鎧Ⅲ,Material1,30387,30377
EXCHANGE.INI,changed,1805,狂陽耀鎧Ⅲ,Name,狂陽烈蹴Ⅲ,狂陽耀鎧Ⅲ
EXCHANGE.INI,changed,1805,狂陽耀鎧Ⅲ,Reward1,30388,30378
EXCHANGE.INI,changed,694,蘇童顏錦囊禮券,Material1,31707,31703
EXCHANGE.INI,changed,694,蘇童顏錦囊禮券,Name,紅夜錦囊禮券,蘇童顏錦囊禮券
EXCHANGE.INI,changed,694,蘇童顏錦囊禮券,Reward1,31701,31697
EXCHANGE.INI,changed,1540,宮殤別劍Ⅴ,Material1,31114,31104
